label	r	a	s	defined	selected	visible	locked	description
EEG y1 	0.397701	-19.0285	39.5139	1	1	1	0	
EEG y2 	-1.1214	-22.3978	40.7396	1	1	1	0	
EEG y3 	-2.78943	-25.0771	41.7276	1	1	1	0	
EEG y4 	-3.79946	-27.9666	42.7703	1	1	1	0	
EEG y5 	-5.68567	-30.8515	43.8366	1	1	1	0	
EEG y6 	-6.98949	-33.3259	44.7422	1	1	1	0	
EEG y7 	-8.73025	-36.0738	45.7563	1	1	1	0	
EEG y8 	-10.4698	-39.0973	46.8671	1	1	1	0	
EEG y9 	-12.21	-41.983	47.9295	1	1	1	0	
EEG y10 	-13.5138	-44.4574	48.8351	1	1	1	0	
EEG y11 	-16.1273	-48.0278	50.1629	1	1	1	0	
EEG y12 	-17.7203	-51.1899	51.318	1	1	1	0	
EEG y13 	-19.8985	-54.0733	52.3923	1	1	1	0	
EEG y14 	-21.4938	-56.684	53.3541	1	1	1	0	
EEG y15 	-22.7988	-58.8828	54.163	1	1	1	0	
EEG LP1 	-2.90798	-45.8529	50.8802	1	1	1	0	
EEG LP2 	-6.10038	-45.9446	50.2444	1	1	1	0	
EEG LP3 	-9.11105	-45.9346	50.4972	1	1	1	0	
EEG LP4 	-12.475	-45.8296	50.7148	1	1	1	0	
EEG LP5 	-15.8344	-45.8214	50.6567	1	1	1	0	
EEG LP6 	-19.3399	-45.8128	50.5961	1	1	1	0	
EEG LP7 	-23.2812	-45.8515	50.3901	1	1	1	0	
EEG LP8 	-26.344	-45.9408	50.0614	1	1	1	0	
EEG LP9 	-30.4382	-45.8341	50.2663	1	1	1	0	
EEG LP10 	-33.6516	-45.8262	50.2108	1	1	1	0	
EEG SC1	0.252658	-30.6902	43.4539	1	1	1	0	
EEG SC2	-3.07412	-30.9775	43.5104	1	1	1	0	
EEG SC3	-5.62507	-31.0722	43.354	1	1	1	0	
EEG SC4	-9.71048	-30.8148	43.1103	1	1	1	0	
EEG SC5	-13.2127	-30.5524	42.9022	1	1	1	0	
EEG SC6	-16.5635	-30.873	42.6933	1	1	1	0	
EEG SC7	-20.0712	-30.0264	42.4947	1	1	1	0	
EEG SC8	-23.8594	-30.3507	42.2592	1	1	1	0	
EEG SC9	-27.07	-30.0859	42.0688	1	1	1	0	
EEG SC10	-30.425	-29.9683	41.8672	1	1	1	0	
EEG SC11	-33.9258	-29.852	41.6566	1	1	1	0	
EEG SC12	-37.4293	-29.4435	41.4509	1	1	1	0	
EEG SC13	-41.0731	-29.6206	41.2266	1	1	1	0	
EEG SC14	-44.7225	-29.2134	41.012	1	1	1	0	
EEG SC15	-48.6607	-29.1008	40.7748	1	1	1	0	
EEG M1	-1.88272	-25.6395	53.6588	1	1	1	0	
EEG M2	-5.19888	-25.539	53.6664	1	1	1	0	
EEG M3	-8.19424	-25.4204	53.6085	1	1	1	0	
EEG M4	-11.7036	-25.0144	53.5453	1	1	1	0	
EEG M5	-15.0613	-25.1913	53.4752	1	1	1	0	
EEG M6	-18.4231	-24.93	53.4125	1	1	1	0	
EEG M7	-22.0771	-24.6713	53.3439	1	1	1	0	
EEG M8	-25.2929	-24.4087	53.2841	1	1	1	0	
EEG M9	-28.8022	-24.0027	53.2209	1	1	1	0	
EEG M10	-32.7469	-23.8928	53.1439	1	1	1	0	
EEG N1	-3.07572	1.49499	46.4974	1	1	1	0	
EEG N2	-5.92269	1.62007	46.4556	1	1	1	0	
EEG N3	-9.04802	1.91551	46.3332	1	1	1	0	
EEG N4	-12.829	2.27126	46.2736	1	1	1	0	
EEG N5	-15.7324	2.54998	45.9356	1	1	1	0	
EEG N6	-19.8017	2.93562	45.7253	1	1	1	0	
EEG N7	-22.9908	3.24676	45.0907	1	1	1	0	
EEG N8	-27.0652	3.62735	45.1725	1	1	1	0	
EEG N9	-30.2595	3.93343	44.83	1	1	1	0	
EEG N10	-34.0303	4.29929	44.1862	1	1	1	0	
EEG N11	-37.3776	4.61147	44.2794	1	1	1	0	
EEG CC1	-1.44646	-6.7389	18.7745	1	1	1	0	
EEG CC2	-4.11335	-6.58875	18.7699	1	1	1	0	
EEG CC3	-7.40893	-6.21983	19.1244	1	1	1	0	
