name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
C3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
EKG1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
EKG2	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
F3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
F7	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
O1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
P3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
RA1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RA10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA11	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RA2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RA3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect
RA4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect
RA5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect
RA6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RA7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RA8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RA9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect,soz
RB1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect
RB10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB11	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect
RB3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect
RB4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect
RB5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RB9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RC1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	resect
RC10	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
