name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EKG1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
EKG2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
LA1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LE1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LE2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LE3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LE4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LE6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
