Name	Comment	Type	Group	Loc	Orient	Weight
"[""t'1""]"	[]	['SEEG']	[]	[[-22], [10], [-32]]	[]	[[1]]
"[""t'2""]"	[]	['SEEG']	[]	[[-25], [10], [-32]]	[]	[[1]]
"[""t'3""]"	[]	['SEEG']	[]	[[-28], [10], [-32]]	[]	[[1]]
"[""t'4""]"	[]	['SEEG']	[]	[[-31], [10], [-32]]	[]	[[1]]
"[""t'5""]"	[]	['SEEG']	[]	[[-34], [10], [-32]]	[]	[[1]]
"[""t'6""]"	[]	['SEEG']	[]	[[-37], [10], [-32]]	[]	[[1]]
"[""t'7""]"	[]	['SEEG']	[]	[[-40], [10], [-32]]	[]	[[1]]
"[""t'8""]"	[]	['SEEG']	[]	[[-43], [10], [-32]]	[]	[[1]]
"[""t'9""]"	[]	['SEEG']	[]	[[-46], [10], [-32]]	[]	[[1]]
"[""t'10""]"	[]	['SEEG']	[]	[[-49], [10], [-32]]	[]	[[1]]
"[""o'1""]"	[]	['SEEG']	[]	[[-2], [7], [-27]]	[]	[[1]]
"[""o'2""]"	[]	['SEEG']	[]	[[-5], [27], [-25]]	[]	[[1]]
"[""o'3""]"	[]	['SEEG']	[]	[[-8], [27], [-23]]	[]	[[1]]
"[""o'4""]"	[]	['SEEG']	[]	[[-11], [27], [-21]]	[]	[[1]]
"[""o'5""]"	[]	['SEEG']	[]	[[-14], [27], [-19]]	[]	[[1]]
"[""o'6""]"	[]	['SEEG']	[]	[[-17], [27], [-18]]	[]	[[1]]
"[""o'7""]"	[]	['SEEG']	[]	[[-20], [27], [-16]]	[]	[[1]]
"[""o'8""]"	[]	['SEEG']	[]	[[-23], [27], [-14]]	[]	[[1]]
"[""o'9""]"	[]	['SEEG']	[]	[[-26], [27], [-13]]	[]	[[1]]
"[""o'10""]"	[]	['SEEG']	[]	[[-30], [27], [-11]]	[]	[[1]]
"[""oc'1""]"	[]	['SEEG']	[]	[[-35], [-4], [11]]	[]	[[1]]
"[""oc'2""]"	[]	['SEEG']	[]	[[-38], [-4], [11]]	[]	[[1]]
"[""oc'3""]"	[]	['SEEG']	[]	[[-41], [-4], [11]]	[]	[[1]]
"[""oc'4""]"	[]	['SEEG']	[]	[[-44], [-4], [11]]	[]	[[1]]
"[""oc'5""]"	[]	['SEEG']	[]	[[-47], [-4], [11]]	[]	[[1]]
"[""oc'6""]"	[]	['SEEG']	[]	[[-50], [-4], [11]]	[]	[[1]]
"[""oc'7""]"	[]	['SEEG']	[]	[[-53], [-4], [11]]	[]	[[1]]
"[""oc'8""]"	[]	['SEEG']	[]	[[-56], [-4], [11]]	[]	[[1]]
"[""oc'9""]"	[]	['SEEG']	[]	[[-59], [-4], [11]]	[]	[[1]]
['ECG2+']	[]	['SEEG']	[]	[[0], [0], [0]]	[]	[[1]]
"[""oc'10""]"	[]	['SEEG']	[]	[[-62], [-4], [11]]	[]	[[1]]
"[""g'1""]"	[]	['SEEG']	[]	[[-1], [43], [-1]]	[]	[[1]]
"[""g'2""]"	[]	['SEEG']	[]	[[-4], [43], [-1]]	[]	[[1]]
"[""g'3""]"	[]	['sEEG']	[]	[[-7], [43], [-1]]	[]	[[1]]
"[""g'4""]"	[]	['SEEG']	[]	[[-10], [43], [-1]]	[]	[[1]]
"[""g'5""]"	[]	['SEEG']	[]	[[-13], [43], [-1]]	[]	[[1]]
"[""g'6""]"	[]	['SEEG']	[]	[[-16], [43], [-1]]	[]	[[1]]
"[""g'7""]"	[]	['SEEG']	[]	[[-19], [43], [-1]]	[]	[[1]]
"[""g'8""]"	[]	['SEEG']	[]	[[-22], [43], [-1]]	[]	[[1]]
"[""g'9""]"	[]	['SEEG']	[]	[[-25], [43], [-1]]	[]	[[1]]
"[""g'10""]"	[]	['SEEG']	[]	[[-28], [43], [-1]]	[]	[[1]]
['MKR1+']	[]	['Misc']	[]	[[0], [0], [0]]	[]	[[1]]
"[""fd'1""]"	[]	['SEEG']	[]	[[-1], [36], [31]]	[]	[[1]]
"[""fd'2""]"	[]	['SEEG']	[]	[[-4], [36], [31]]	[]	[[1]]
"[""fd'3""]"	[]	['SEEG']	[]	[[-7], [36], [31]]	[]	[[1]]
"[""fd'4""]"	[]	['SEEG']	[]	[[-10], [36], [31]]	[]	[[1]]
"[""fd'5""]"	[]	['SEEG']	[]	[[-13], [36], [31]]	[]	[[1]]
"[""fd'6""]"	[]	['SEEG']	[]	[[-16], [36], [31]]	[]	[[1]]
"[""fd'7""]"	[]	['SEEG']	[]	[[-19], [36], [31]]	[]	[[1]]
"[""fd'8""]"	[]	['SEEG']	[]	[[-22], [36], [31]]	[]	[[1]]
"[""fd'9""]"	[]	['SEEG']	[]	[[-25], [36], [31]]	[]	[[1]]
"[""fd'10""]"	[]	['SEEG']	[]	[[-28], [36], [31]]	[]	[[1]]
['cc21']	[]	['SEEG']	[]	[[-1], [18], [29]]	[]	[[1]]
['cc22']	[]	['SEEG']	[]	[[-4], [18], [29]]	[]	[[1]]
['cc23']	[]	['SEEG']	[]	[[-7], [18], [29]]	[]	[[1]]
['cc24']	[]	['SEEG']	[]	[[-10], [18], [29]]	[]	[[1]]
['cc25']	[]	['SEEG']	[]	[[-13], [18], [29]]	[]	[[1]]
['cc26']	[]	['SEEG']	[]	[[-16], [18], [29]]	[]	[[1]]
['cc27']	[]	['SEEG']	[]	[[-19], [18], [29]]	[]	[[1]]
['cc28']	[]	['SEEG']	[]	[[-22], [18], [29]]	[]	[[1]]
['cc29']	[]	['SEEG']	[]	[[-25], [18], [29]]	[]	[[1]]
['cc210']	[]	['SEEG']	[]	[[-28], [18], [29]]	[]	[[1]]
"[""l'1""]"	[]	['SEEG']	[]	[[-2], [10], [45]]	[]	[[1]]
"[""l'2""]"	[]	['SEEG']	[]	[[-5], [10], [45]]	[]	[[1]]
"[""l'3""]"	[]	['SEEG']	[]	[[-8], [10], [45]]	[]	[[1]]
"[""l'4""]"	[]	['SEEG']	[]	[[-11], [10], [45]]	[]	[[1]]
"[""l'5""]"	[]	['SEEG']	[]	[[-14], [10], [45]]	[]	[[1]]
"[""l'6""]"	[]	['SEEG']	[]	[[-17], [10], [45]]	[]	[[1]]
"[""l'7""]"	[]	['SEEG']	[]	[[-20], [10], [45]]	[]	[[1]]
"[""l'8""]"	[]	['SEEG']	[]	[[-23], [10], [45]]	[]	[[1]]
"[""l'9""]"	[]	['SEEG']	[]	[[-26], [10], [45]]	[]	[[1]]
"[""l'10""]"	[]	['SEEG']	[]	[[-29], [10], [45]]	[]	[[1]]
"[""cp'1""]"	[]	['SEEG']	[]	[[-0.0], [-20.0], [38.0]]	[]	[[1]]
"[""cp'2""]"	[]	['SEEG']	[]	[[-3], [-20], [38]]	[]	[[1]]
"[""cp'3""]"	[]	['SEEG']	[]	[[-6], [-20], [38]]	[]	[[1]]
"[""cp'4""]"	[]	['SEEG']	[]	[[-9], [-20], [38]]	[]	[[1]]
"[""cp'5""]"	[]	['SEEG']	[]	[[-12], [-20], [38]]	[]	[[1]]
"[""cp'6""]"	[]	['SEEG']	[]	[[-15], [-20], [38]]	[]	[[1]]
"[""cp'7""]"	[]	['SEEG']	[]	[[-18], [-20], [38]]	[]	[[1]]
"[""cp'8""]"	[]	['SEEG']	[]	[[-21], [-20], [38]]	[]	[[1]]
"[""cp'9""]"	[]	['SEEG']	[]	[[-24], [-20], [38]]	[]	[[1]]
"[""cp'10""]"	[]	['SEEG']	[]	[[-27], [-20], [38]]	[]	[[1]]
['MKR2+']	[]	['Misc']	[]	[[0], [0], [0]]	[]	[[1]]
['cp1']	[]	['SEEG']	[]	[[-0.0], [-20.0], [38.0]]	[]	[[1]]
['cp2']	[]	['SEEG']	[]	[[3], [-20], [38]]	[]	[[1]]
['cp3']	[]	['SEEG']	[]	[[6], [-20], [38]]	[]	[[1]]
['cp4']	[]	['SEEG']	[]	[[9], [-20], [38]]	[]	[[1]]
['cp5']	[]	['SEEG']	[]	[[12], [-20], [38]]	[]	[[1]]
['cp6']	[]	['SEEG']	[]	[[15], [-20], [38]]	[]	[[1]]
['cp7']	[]	['SEEG']	[]	[[18], [-20], [38]]	[]	[[1]]
['cp8']	[]	['SEEG']	[]	[[21], [-20], [38]]	[]	[[1]]
['cp9']	[]	['SEEG']	[]	[[24], [-20], [38]]	[]	[[1]]
['cp10']	[]	['SEEG']	[]	[[27], [-20], [38]]	[]	[[1]]
"[""n'1""]"	[]	['SEEG']	[]	[[-2], [10], [45]]	[]	[[1]]
"[""n'2""]"	[]	['SEEG']	[]	[[-5], [10], [45]]	[]	[[1]]
"[""n'3""]"	[]	['SEEG']	[]	[[-8], [10], [45]]	[]	[[1]]
"[""n'4""]"	[]	['SEEG']	[]	[[-11], [10], [45]]	[]	[[1]]
"[""n'5""]"	[]	['SEEG']	[]	[[-14], [10], [45]]	[]	[[1]]
"[""n'6""]"	[]	['SEEG']	[]	[[-17], [10], [45]]	[]	[[1]]
"[""n'7""]"	[]	['SEEG']	[]	[[-20], [10], [45]]	[]	[[1]]
"[""n'8""]"	[]	['SEEG']	[]	[[-23], [10], [45]]	[]	[[1]]
"[""n'9""]"	[]	['SEEG']	[]	[[-26], [10], [45]]	[]	[[1]]
"[""n'10""]"	[]	['SEEG']	[]	[[-29], [10], [45]]	[]	[[1]]
"[""lp'1""]"	[]	['SEEG']	[]	[[-2], [-34], [59]]	[]	[[1]]
"[""lp'2""]"	[]	['SEEG']	[]	[[-5], [-34], [59]]	[]	[[1]]
"[""lp'3""]"	[]	['SEEG']	[]	[[-8], [-34], [59]]	[]	[[1]]
"[""lp'4""]"	[]	['SEEG']	[]	[[-11], [-34], [59]]	[]	[[1]]
"[""lp'5""]"	[]	['SEEG']	[]	[[-14], [-34], [59]]	[]	[[1]]
"[""lp'6""]"	[]	['SEEG']	[]	[[-17], [-34], [59]]	[]	[[1]]
"[""lp'7""]"	[]	['SEEG']	[]	[[-20], [-34], [59]]	[]	[[1]]
"[""lp'8""]"	[]	['SEEG']	[]	[[-23], [-34], [59]]	[]	[[1]]
"[""lp'9""]"	[]	['SEEG']	[]	[[-26], [-34], [59]]	[]	[[1]]
"[""lp'10""]"	[]	['SEEG']	[]	[[-29], [-34], [59]]	[]	[[1]]
"[""os'1""]"	[]	['SEEG']	[]	[[-4], [-2], [34]]	[]	[[1]]
"[""os'2""]"	[]	['SEEG']	[]	[[-5], [-4], [39]]	[]	[[1]]
"[""os'3""]"	[]	['SEEG']	[]	[[-7], [-7], [44]]	[]	[[1]]
"[""os'4""]"	[]	['SEEG']	[]	[[-9], [-9], [49]]	[]	[[1]]
"[""os'5""]"	[]	['SEEG']	[]	[[-11], [-12], [55]]	[]	[[1]]
